"lang"
{
	"Language"		"schinese"
	"Tokens"
	{
		"addon_game_name"			"VAMPIRISM 2"
		
"DOTA_Tooltip_ability_item_lia_hammer_Description" "<h1>被动：迷你猛击</h1> 每次攻击都有 %minibash_chance%%% 的几率造成迷你猛击。"
"DOTA_Tooltip_ability_buy_item_lia_hammer_Description" "<h1>被动：迷你猛击</h1> 每次攻击都有 %minibash_chance%%% 的几率造成迷你猛击。"
"DOTA_Tooltip_Ability_item_golem_fire_Description" "无法杀死人类。<br>在 %duration% 秒内创建魔像。"
"DOTA_Tooltip_Ability_buy_item_golem_fire_Description" "无法杀死人类。<br>在 %duration% 秒内创建魔像。"
"DOTA_Tooltip_Ability_item_golem_stone_Description" "无法杀死人类。<br>在 %duration% 秒内创建魔像。"
"DOTA_Tooltip_Ability_buy_item_golem_stone_Description" "无法杀死人类。<br>在 %duration% 秒内创建魔像。"
"DOTA_Tooltip_Ability_item_golem_flesh_Description" "无法杀死人类。<br>在 %duration% 秒内创建魔像。"
"DOTA_Tooltip_Ability_buy_item_golem_flesh_Description" "无法杀死人类。<br>在 %duration% 秒内创建魔像。"
"DOTA_Tooltip_Ability_item_shade_Description" "无法杀死人类。<br>伤害很小。<br>在 %duration% 秒内创造阴影。"
"DOTA_Tooltip_Ability_buy_item_shade_Description" "无法杀死人类。<br>伤害很小。<br>创造一个阴影持续 %duration% 秒。"
"DOTA_Tooltip_Ability_item_assasin_Description" "只能杀死伐木工人。<br>创建刺客持续 %duration% 秒。"
"DOTA_Tooltip_Ability_buy_item_assasin_Description" "只能杀死伐木工人。<br>创建刺客持续 %duration% 秒。"
"DOTA_Tooltip_Ability_item_fel_best_Description" "只能杀死修墙工。<br>在 %duration% 秒内制造邪能野兽。"
"DOTA_Tooltip_Ability_buy_item_fel_best_Description" "只能杀死修墙工。<br>在 %duration% 秒内制造邪能野兽。"
"DOTA_Tooltip_ability_item_lia_poleaxe_of_rage_Description" "<h1>主动：狂暴</h1> 提供额外的 %berserk_bonus_movement_speed_percentage%%% 移动速度和 %berserk_bonus_attack_speed% 攻击速度，但施法者会受到 %berserk_extra_incoming_damage_percentage%%% 的额外伤害。伤害增加 %bonus_damage% 倍。持续 %berserk_duration% 秒。拥有者每秒受到 %burn_damage%。拥有者可能死于该物品。\n<h1>被动：暴击</h1>使每次攻击有 %crit_chance%% 的机会造成 %crit_mult%% % 额外伤害。”
"DOTA_Tooltip_ability_buy_item_lia_poleaxe_of_rage_Description" "<h1>主动：狂暴</h1> 给予额外 %berserk_bonus_movement_speed_percentage%%% 移动速度和 %berserk_bonus_attack_speed% 攻击速度，但施法者承受 %berserk_extra_incoming_damage_percentage%%% 额外伤害。伤害增加 %bonus_damage 倍。持续 %berserk_duration% 秒。拥有者每秒受到 %burn_damage%。拥有者可能死于该物品。\n<h1>被动：暴击</h1>使每次攻击有 %crit_chance%% 的机会造成 %crit_mult%% % 额外伤害。”
"DOTA_Tooltip_ability_item_heart_blood_Description" "<h1>主动：狂暴</h1> 提供额外的 %berserk_bonus_movement_speed_percentage%%% 移动速度和 %berserk_bonus_attack_speed% 攻击速度，但施法者会受到 %berserk_extra_incoming_damage_percentage%%% 的额外伤害。伤害增加 %bonus_damage% 倍。持续 %berserk_duration% 秒。拥有者每秒受到 %burn_damage%。拥有者可能死于该物品。\n<h1>被动：暴击</h1>使每次攻击有 %crit_chance%% 的机会造成 %crit_mult%% % 额外伤害。”
"DOTA_Tooltip_ability_buy_item_heart_blood_Description" "<h1>主动：狂暴</h1> 提供额外的 %berserk_bonus_movement_speed_percentage%%% 移动速度和 %berserk_bonus_attack_speed% 攻击速度，但施法者会受到 %berserk_extra_incoming_damage_percentage%%% 的额外伤害。伤害增加 %bonus_damage% 倍。持续 %berserk_duration% 秒。拥有者每秒受到 %burn_damage%。拥有者可能死于该物品。\n<h1>被动：暴击</h1>使每次攻击有 %crit_chance%% 的机会造成 %crit_mult%% % 额外伤害。”
"DOTA_Tooltip_Ability_item_golden_hand_Description" "有 20% 的几率，你可以获得额外的 20 金币。"
"DOTA_Tooltip_Ability_buy_item_golden_hand_Description" "有 20% 的几率，你可以获得额外的 20 金币。"
"DOTA_Tooltip_Ability_item_pulse_staff_Description" "<h1>主动：闪电链</h1>对链中的 %lightning_bounces% 个随机单位造成 %lightning_damage% 伤害。"
"DOTA_Tooltip_Ability_buy_item_pulse_staff_Description" "<h1>主动：闪电链</h1>对链中的 %lightning_bounces% 个随机单位造成 %lightning_damage% 伤害。"
"DOTA_Tooltip_Ability_item_burst_gem_Description" "<h1>主动：火球</h1> 向任何没有魔法免疫的单位发射火焰冲击波。"
"DOTA_Tooltip_Ability_buy_item_burst_gem_Description" "<h1>主动：火球</h1> 向任何没有魔法免疫的单位发射火焰冲击波。"	
		
"DOTA_Tooltip_Ability_item_roketa_Description" "<h1>主动：导弹</h1> 杀死任何没有魔法免疫的单位。一次性使用。"
"DOTA_Tooltip_Ability_buy_item_roketa_Description" "<h1>主动：导弹</h1> 杀死任何没有魔法免疫的单位。一次性使用。"
"DOTA_Tooltip_Ability_item_immunity_shield_Description" "盾牌让佩戴者免受魔法伤害。"
"DOTA_Tooltip_Ability_buy_item_immunity_shield_Description" "盾牌让佩戴者免受魔法伤害。"
"DOTA_Tooltip_Ability_item_troll_teleport_Description" "将英雄传送到友军单位。"
"DOTA_Tooltip_Ability_buy_item_troll_teleport_Description" "将英雄传送到友军单位。"
"DOTA_Tooltip_Ability_item_spirit_Description" "每杀死一个单位，就会恢复 %heal_percentage%%% 的当前生命值。将英雄传送到一个友军单位。"
"DOTA_Tooltip_Ability_buy_item_recipe_spirit_Description" "<h1>RECIPE</h1> 每杀死一个单位，就会恢复当前生命值的 %heal_percentage%%%。将英雄传送到一个友军单位。"
"DOTA_Tooltip_ability_buy_item_recipe_tiger_claw_Description" "<h1>RECIPE</h1>"
"DOTA_Tooltip_Ability_item_golden_greed_Description" "有 35% 的几率，你可以获得额外的 80 金币。"
"DOTA_Tooltip_Ability_buy_item_recipe_golden_greed_Description" "<h1>RECIPE</h1><br>有 35% 的几率，您可以获得额外的 80 金币。"
"DOTA_Tooltip_Ability_item_clock_dracula_Description" "使英雄隐形。"
"DOTA_Tooltip_Ability_buy_item_recipe_clock_dracula_Description" "<h1>RECIPE</h1>让英雄隐身。"
"DOTA_Tooltip_ability_item_doom_frostbite_Description" "<h1>主动：冻伤</h1>冻结敌人 %stun_duration% 秒，并在 %stun_radius% 半径内造成 %stun_damage% 伤害。将你的护甲提高 %bonus_armor%。<br> 生命值：1 800 000 “
"DOTA_Tooltip_Ability_buy_item_recipe_doom_frostbite_Description" "<h1>RECIPE<br>主动：冻伤</h1>冻结敌人 %stun_duration% 秒，并在 %stun_radius% 半径范围内造成 %stun_damage% 伤害。将你的护甲提高 %bonus_armor%。<br> HP : 1 800 000"
"DOTA_Tooltip_Ability_item_pulse_ricochet_Description" "<h1>主动：闪电链</h1>对链中的 %lightning_bounces% 个随机单位造成 %lightning_damage% 伤害。"
"DOTA_Tooltip_Ability_buy_item_recipe_pulse_ricochet_Description" "<h1>RECIPE<br>主动：闪电链</h1>对链中的 %lightning_bounces% 个随机单位造成 %lightning_damage% 伤害。"
"DOTA_Tooltip_ability_item_lia_staff_of_illusions_Description" "<h1>主动：幻觉</h1>创建一个目标单位的图像。幻觉会受到 %illusion_incoming_damage%%% 的伤害并造成 %illusion_outgoing_damage%%% 的伤害。<br>幻觉持续 %illusion_duration% 秒。 “
"DOTA_Tooltip_Ability_buy_item_recipe_lia_staff_of_illusions_Description" "<h1>RECIPE<br>主动：幻觉</h1>创建一个目标单位的图像。幻觉会受到 %illusion_incoming_damage%%% 的伤害并造成 %illusion_outgoing_damage%%% 的伤害。<br>幻觉持续 % illusion_duration% 秒。”
"DOTA_Tooltip_Ability_item_demonic_remains_Description" "每杀死一个单位，你的所有属性 +10。"
"DOTA_Tooltip_ability_buy_item_demonic_remains_Description" "每杀死一个单位，你的所有属性 +10。"
"DOTA_Tooltip_Ability_item_pick_axe_Description" "一把长斧头可以让你到达位于山上的金矿。一次性斧头。只能在金矿上使用！"
"DOTA_Tooltip_Ability_buy_item_pick_axe_Description" "一把长斧头可以让你到达位于山上的金矿。一次性斧头。只能在金矿上使用！"
"DOTA_Tooltip_Ability_item_mask_undeath_Description" "阻挡 %bonus_block% 伤害。"
"DOTA_Tooltip_Ability_buy_item_mask_undeath_Description" "阻挡 %bonus_block% 伤害。"
"DOTA_Tooltip_Ability_buy_item_quelling_blade2_Description" "<h1>主动：砍树</h1>砍倒一棵树。一次性斧头。对末日宝珠有用.."
